Created on 10-18-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-10-18 01-AM,ETHUSD,204.09,204.09,204.09,204.09,0.0,0.0
2018-10-18 12-AM,ETHUSD,204.38,204.38,203.3,204.09,7.72,1574.53
2018-10-17 11-PM,ETHUSD,204.16,204.39,204.11,204.38,0.3964,80.97
2018-10-17 10-PM,ETHUSD,203.06,205.13,203.06,204.16,12.67,2586.85
2018-10-17 09-PM,ETHUSD,203.44,203.82,202.88,203.06,18.96,3850.91
2018-10-17 08-PM,ETHUSD,203.48,203.48,202.8,203.44,14.09,2866.94
2018-10-17 07-PM,ETHUSD,203.97,204.56,203.48,203.48,25.2,5142.68
2018-10-17 06-PM,ETHUSD,205,205,203.78,203.97,5.66,1155.2
2018-10-17 05-PM,ETHUSD,204.41,205,203.52,205,654.6,134022.08
2018-10-17 04-PM,ETHUSD,204.33,204.41,203.56,204.41,23.16,4719.46
2018-10-17 03-PM,ETHUSD,203.83,204.33,203.6,204.33,23.31,4757.67
2018-10-17 02-PM,ETHUSD,202.8,205,202.55,203.83,96.12,19538.2
2018-10-17 01-PM,ETHUSD,203.04,203.26,202.57,202.8,11.36,2306.5
2018-10-17 12-PM,ETHUSD,203.04,203.08,202.8,203.04,8.84,1794.61
2018-10-17 11-AM,ETHUSD,203.6,203.6,201.19,203.04,54.15,10981.42
2018-10-17 10-AM,ETHUSD,204,204.11,203.6,203.6,45.09,9194.66
2018-10-17 09-AM,ETHUSD,204.1,204.5,204,204,24.63,5030.78
2018-10-17 08-AM,ETHUSD,203.68,204.13,203.6,204.1,13.42,2735.78
2018-10-17 07-AM,ETHUSD,203.68,203.68,203.68,203.68,0.0,0.0
2018-10-17 06-AM,ETHUSD,204.82,204.82,203.68,203.68,12.84,2622.27
2018-10-17 05-AM,ETHUSD,205.74,205.78,204.54,204.82,46.22,9483.9
2018-10-17 04-AM,ETHUSD,205.74,205.74,205.74,205.74,0.0,0.0
2018-10-17 03-AM,ETHUSD,205.5,205.74,205.5,205.74,4.62,950.15
2018-10-17 02-AM,ETHUSD,206.04,206.04,205.5,205.5,5.24,1076.03
2018-10-17 01-AM,ETHUSD,205.26,206.35,205.26,206.04,6.54,1347.11
2018-10-17 12-AM,ETHUSD,205.26,205.26,205.26,205.26,1.4,287.71
2018-10-16 11-PM,ETHUSD,204.45,206.74,204.02,205.26,51.79,10682.72
2018-10-16 10-PM,ETHUSD,203.99,204.74,203.99,204.45,89.22,18244.42
2018-10-16 09-PM,ETHUSD,204.62,204.65,203.76,203.99,14.82,3031.48
2018-10-16 08-PM,ETHUSD,203.76,204.89,203.76,204.62,27.16,5556.64
2018-10-16 07-PM,ETHUSD,203.94,204.26,203.76,203.76,26.12,5322.79
2018-10-16 06-PM,ETHUSD,203.42,204.67,203.42,203.94,22.09,4504.61
2018-10-16 05-PM,ETHUSD,203.74,203.95,202.9,203.42,86.02,17473.12
2018-10-16 04-PM,ETHUSD,204.02,204.29,202.87,203.74,156.02,31803.15
2018-10-16 03-PM,ETHUSD,203.49,204.59,203.49,204.02,91.06,18561.05
2018-10-16 02-PM,ETHUSD,203.89,204.4,203.34,203.49,34.3,6990.64
2018-10-16 01-PM,ETHUSD,203.07,204.82,203.07,203.89,42.27,8620.47
2018-10-16 12-PM,ETHUSD,203.75,203.88,203.07,203.07,32.87,6678.82
2018-10-16 11-AM,ETHUSD,203.25,204,203.25,203.75,35.19,7177.85
2018-10-16 10-AM,ETHUSD,203.25,203.25,203.25,203.25,0.0,0.0
2018-10-16 09-AM,ETHUSD,202.89,204.45,202.89,203.25,7.7,1566.84
2018-10-16 08-AM,ETHUSD,204.75,204.75,202.12,202.89,14.93,3025.19
2018-10-16 07-AM,ETHUSD,203.9,204.75,203.9,204.75,15.02,3073.5
2018-10-16 06-AM,ETHUSD,205.48,205.48,203.9,203.9,5.45,1114.38
2018-10-16 05-AM,ETHUSD,202.35,207.02,201.65,205.48,207.22,42519.19
2018-10-16 04-AM,ETHUSD,203.11,203.11,201.91,202.35,6.67,1348.64
2018-10-16 03-AM,ETHUSD,203.15,203.15,202.33,203.11,13.7,2782.25
2018-10-16 02-AM,ETHUSD,201.81,203.15,201.81,203.15,13.05,2643.6
2018-10-16 01-AM,ETHUSD,202.14,202.57,201.6,201.81,17.02,3439.39
2018-10-16 12-AM,ETHUSD,203.32,203.32,201.61,202.14,64.57,13051.45
2018-10-15 11-PM,ETHUSD,203.32,204.22,203,203.32,38.85,7909.55
2018-10-15 10-PM,ETHUSD,200.55,204.49,200.55,203.32,73.36,14890.09
2018-10-15 09-PM,ETHUSD,199.9,200.65,199.9,200.55,23.06,4623.99
2018-10-15 08-PM,ETHUSD,196.63,201.4,195.77,199.9,51.01,10156.94
2018-10-15 07-PM,ETHUSD,197,197.19,195.86,196.63,44.53,8764.03
2018-10-15 06-PM,ETHUSD,198.24,199.8,197,197,312.59,62295.63
2018-10-15 05-PM,ETHUSD,198.66,199.32,198.24,198.24,21.55,4288.08
2018-10-15 04-PM,ETHUSD,197.36,199.99,197.3,198.66,44.45,8821.32
2018-10-15 03-PM,ETHUSD,198.49,198.9,197.23,197.36,18.73,3712.63
2018-10-15 02-PM,ETHUSD,199.11,199.9,198.18,198.49,45.37,9042.67
2018-10-15 01-PM,ETHUSD,198.55,199.95,196.79,199.11,51.67,10243.26
2018-10-15 12-PM,ETHUSD,200,201.12,198.55,198.55,35.39,7077.82
2018-10-15 11-AM,ETHUSD,202,204.37,200,200,443.81,89453.98
2018-10-15 10-AM,ETHUSD,202,203.58,199.65,202,1387.13,279118.46
2018-10-15 09-AM,ETHUSD,196.14,202.79,196.14,202,163.62,32838.85
2018-10-15 08-AM,ETHUSD,201.42,203.58,195.86,196.14,222.07,44526.03
2018-10-15 07-AM,ETHUSD,205.94,209.16,200.23,201.42,331.91,67792.74
2018-10-15 06-AM,ETHUSD,208.02,215,200.97,205.94,372.66,77330.78
2018-10-15 05-AM,ETHUSD,191,209.21,190.87,208.02,376.32,76163.5
2018-10-15 04-AM,ETHUSD,191,191,191,191,2.8,534.67
2018-10-15 03-AM,ETHUSD,191,191,191,191,0.0006565,0.1254
2018-10-15 02-AM,ETHUSD,191.54,191.54,191,191,10.52,2013.35
2018-10-15 01-AM,ETHUSD,191.95,191.95,191.03,191.54,1.22,233.75
2018-10-15 12-AM,ETHUSD,190,191.95,189.15,191.95,61.78,11735.72
2018-10-14 11-PM,ETHUSD,194.1,194.1,188.37,190,45.76,8719.53
2018-10-14 10-PM,ETHUSD,193.98,194.93,193.98,194.1,24.58,4785.79
2018-10-14 09-PM,ETHUSD,194,194,192.91,193.98,82.24,15892.9
2018-10-14 08-PM,ETHUSD,197.3,197.3,192.72,194,154.44,29986.68
2018-10-14 07-PM,ETHUSD,196.97,197.49,196.97,197.3,16.55,3264.34
2018-10-14 06-PM,ETHUSD,197,197,196.03,196.97,83.62,16421.16
2018-10-14 05-PM,ETHUSD,197,197,196.76,197,24.94,4914.07
2018-10-14 04-PM,ETHUSD,197.73,197.87,197,197,37.37,7366.68
2018-10-14 03-PM,ETHUSD,197,197.73,197,197.73,0.6673,131.55
2018-10-14 02-PM,ETHUSD,197,197,197,197,9.92,1954.63
2018-10-14 01-PM,ETHUSD,198.06,198.06,197,197,17.65,3481.95
2018-10-14 12-PM,ETHUSD,196.81,198.06,196.81,198.06,20.78,4114.32
2018-10-14 11-AM,ETHUSD,196.7,196.81,196.7,196.81,11.83,2327.51
2018-10-14 10-AM,ETHUSD,197.48,197.48,195.92,196.7,8.38,1646.86
2018-10-14 09-AM,ETHUSD,197.81,197.81,197.48,197.48,2.02,399.06
2018-10-14 08-AM,ETHUSD,197.81,197.81,197.81,197.81,0.0,0.0
2018-10-14 07-AM,ETHUSD,197,197.81,197,197.81,7.83,1548.58
2018-10-14 06-AM,ETHUSD,198.55,198.55,197,197,24.11,4750.54
2018-10-14 05-AM,ETHUSD,198.55,198.55,198.55,198.55,0.0,0.0
2018-10-14 04-AM,ETHUSD,197.02,198.55,197.02,198.55,15.37,3045.96
2018-10-14 03-AM,ETHUSD,196.83,197.27,195.96,197.02,19.83,3895.37
2018-10-14 02-AM,ETHUSD,196.83,196.83,196.83,196.83,0.5068,99.75
2018-10-14 01-AM,ETHUSD,195.9,196.83,195.9,196.83,16.07,3155.0
2018-10-14 12-AM,ETHUSD,195.44,195.92,195.16,195.9,24.07,4706.02
2018-10-13 11-PM,ETHUSD,196.31,196.31,195.44,195.44,42.32,8294.82
2018-10-13 10-PM,ETHUSD,197.05,197.23,195.59,196.31,347.01,68071.34
2018-10-13 09-PM,ETHUSD,197.66,197.66,197.01,197.05,4.04,796.23
2018-10-13 08-PM,ETHUSD,197.62,197.66,196.85,197.66,10.04,1983.75
2018-10-13 07-PM,ETHUSD,197.72,197.72,196.76,197.62,4.76,939.58
2018-10-13 06-PM,ETHUSD,198.2,198.2,197.72,197.72,7.45,1473.08
2018-10-13 05-PM,ETHUSD,197.59,199.98,197.59,198.2,131.51,26220.78
2018-10-13 04-PM,ETHUSD,198.48,198.54,197.59,197.59,17.42,3446.66
2018-10-13 03-PM,ETHUSD,198.21,198.48,198.21,198.48,6.78,1346.37
2018-10-13 02-PM,ETHUSD,197.75,198.21,197.48,198.21,3.97,783.49
2018-10-13 01-PM,ETHUSD,197.89,198.49,197.75,197.75,105.29,20891.97
2018-10-13 12-PM,ETHUSD,198.16,198.16,195.97,197.89,40.18,7932.13
2018-10-13 11-AM,ETHUSD,196.88,198.16,196.88,198.16,5.72,1132.53
2018-10-13 10-AM,ETHUSD,199,199.08,196.88,196.88,32.5,6433.14
2018-10-13 09-AM,ETHUSD,196.3,199.41,196.3,199,90.62,17967.16
2018-10-13 08-AM,ETHUSD,195.13,196.3,195.13,196.3,0.4968,97.45
2018-10-13 07-AM,ETHUSD,196.32,196.32,195.13,195.13,4.77,935.67
2018-10-13 06-AM,ETHUSD,195.39,196.32,194.93,196.32,1.13,219.48
2018-10-13 05-AM,ETHUSD,195,196.03,195,195.39,9.06,1773.34
2018-10-13 04-AM,ETHUSD,193.56,195,193.3,195,15.78,3058.35
2018-10-13 03-AM,ETHUSD,194.22,194.93,193.1,193.56,269.53,52162.24
2018-10-13 02-AM,ETHUSD,194.22,194.22,194.22,194.22,0.0,0.0
2018-10-13 01-AM,ETHUSD,196.32,196.32,194.22,194.22,3.0,582.66
2018-10-13 12-AM,ETHUSD,194.89,196.32,191.58,196.32,20.58,4003.73
2018-10-12 11-PM,ETHUSD,194.89,194.89,194.89,194.89,0.2873,55.99
2018-10-12 10-PM,ETHUSD,195.26,195.49,192.6,194.89,28.01,5449.1
2018-10-12 09-PM,ETHUSD,195.5,195.5,193.71,195.26,15.64,3050.62
2018-10-12 08-PM,ETHUSD,193.86,195.5,193.86,195.5,32.65,6378.47
2018-10-12 07-PM,ETHUSD,193.86,193.86,193.86,193.86,5.0,969.27
2018-10-12 06-PM,ETHUSD,194.02,194.94,193.56,193.86,7.66,1489.14
2018-10-12 05-PM,ETHUSD,195.34,196.32,193.28,194.02,54.8,10663.29
2018-10-12 04-PM,ETHUSD,195.69,196.17,195.34,195.34,4.01,783.44
2018-10-12 03-PM,ETHUSD,193.28,199.8,193.28,195.69,51.21,10144.6
2018-10-12 02-PM,ETHUSD,194,195.29,192.87,193.28,24.17,4698.71
2018-10-12 01-PM,ETHUSD,194.83,194.83,194,194,12.73,2471.12
2018-10-12 12-PM,ETHUSD,193,194.91,193,194.83,3.18,619.51
2018-10-12 11-AM,ETHUSD,193.57,194.49,193,193,17.94,3467.24
2018-10-12 10-AM,ETHUSD,194.52,194.79,193.57,193.57,8.63,1678.0
2018-10-12 09-AM,ETHUSD,195.61,195.61,194.52,194.52,0.3032,58.98
2018-10-12 08-AM,ETHUSD,196.3,196.3,194.49,195.61,10.56,2058.68
2018-10-12 07-AM,ETHUSD,195.01,196.87,195,196.3,24.31,4771.52
2018-10-12 06-AM,ETHUSD,191,196,191,195.01,226.63,44320.1
2018-10-12 05-AM,ETHUSD,191,192,191,191,13.99,2676.14
2018-10-12 04-AM,ETHUSD,190.92,192,190.92,191,994.17,190724.64
2018-10-12 03-AM,ETHUSD,190.92,190.92,190.92,190.92,36.18,6906.58
2018-10-12 02-AM,ETHUSD,190.92,190.92,190.92,190.92,2.89,552.63
2018-10-12 01-AM,ETHUSD,189.29,191,187,190.92,48.98,9346.2
2018-10-12 12-AM,ETHUSD,189.42,189.42,186,189.29,34.78,6492.8
2018-10-11 11-PM,ETHUSD,194.28,196.25,185.27,189.42,684.48,129789.49
2018-10-11 10-PM,ETHUSD,196.12,196.66,194.28,194.28,20.93,4084.0
2018-10-11 09-PM,ETHUSD,196,196.65,196,196.12,31.17,6129.06
2018-10-11 08-PM,ETHUSD,198.5,199.16,193.11,196,22.96,4504.86
2018-10-11 07-PM,ETHUSD,198.05,198.5,198.05,198.5,32.62,6474.65
2018-10-11 06-PM,ETHUSD,199.8,199.8,198,198.05,114.44,22758.53
2018-10-11 05-PM,ETHUSD,197,205,197,199.8,73.77,14843.51
2018-10-11 04-PM,ETHUSD,197,197,197,197,0.0,0.0
2018-10-11 03-PM,ETHUSD,200,200,197,197,20.46,4077.13
2018-10-11 02-PM,ETHUSD,195.71,200.68,195.71,200,46.83,9352.23
2018-10-11 01-PM,ETHUSD,197.3,197.82,192,195.71,870.51,170406.2
2018-10-11 12-PM,ETHUSD,196.1,198,196.1,197.3,237.05,46908.03
2018-10-11 11-AM,ETHUSD,197.9,197.9,196.1,196.1,28.46,5589.27
2018-10-11 10-AM,ETHUSD,198,198,196.1,197.9,9.65,1907.86
2018-10-11 09-AM,ETHUSD,198.92,198.92,196.1,198,63.26,12506.59
2018-10-11 08-AM,ETHUSD,197.61,198.92,197.5,198.92,106.39,21142.77
2018-10-11 07-AM,ETHUSD,197,203,196,197.61,421.95,83448.91
2018-10-11 06-AM,ETHUSD,199.91,199.91,196,197,606.8,119097.4
2018-10-11 05-AM,ETHUSD,202.6,202.67,199.91,199.91,25.89,5212.75
2018-10-11 04-AM,ETHUSD,202.13,203.74,200.08,202.6,53.24,10800.35
2018-10-11 03-AM,ETHUSD,199.01,205,199.01,202.13,59.41,12096.67
2018-10-11 02-AM,ETHUSD,202.5,202.5,198.25,199.01,105.64,21046.66
2018-10-11 01-AM,ETHUSD,217.91,217.91,197,202.5,637.53,129188.0
2018-10-11 12-AM,ETHUSD,223.4,223.4,217.28,217.91,13.0,2837.39
2018-10-10 11-PM,ETHUSD,223.44,224.5,222.44,223.4,33.73,7538.81
2018-10-10 10-PM,ETHUSD,224.5,224.5,223.44,223.44,0.1454,32.52
2018-10-10 09-PM,ETHUSD,223.84,224.5,223.55,224.5,11.97,2677.18
2018-10-10 08-PM,ETHUSD,223,223.91,223,223.84,30.03,6724.19
2018-10-10 07-PM,ETHUSD,223.97,223.97,220,223,304.79,67373.93
2018-10-10 06-PM,ETHUSD,223.52,223.97,223.52,223.97,8.65,1937.87
2018-10-10 05-PM,ETHUSD,222.34,223.52,222.34,223.52,15.54,3466.14
2018-10-10 04-PM,ETHUSD,222.34,222.34,222.34,222.34,0.4922,109.44
2018-10-10 03-PM,ETHUSD,223.52,223.52,222.34,222.34,8.46,1882.41
2018-10-10 02-PM,ETHUSD,223.59,223.59,223.52,223.52,58.24,13021.05
2018-10-10 01-PM,ETHUSD,223.59,223.84,223.59,223.59,26.18,5852.6
2018-10-10 12-PM,ETHUSD,223,223.83,223,223.59,1.53,343.16
2018-10-10 11-AM,ETHUSD,223.33,223.33,223,223,8.48,1890.37
