Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-10-18 01-AM,BTCUSD,6451.7,6451.7,6448.79,6448.79,0.0,0.0
2018-10-18 12-AM,BTCUSD,6436.04,6451.7,6427,6451.7,8.12,52318.1
2018-10-17 11-PM,BTCUSD,6441.68,6449,6434.04,6436.04,6.15,39595.36
2018-10-17 10-PM,BTCUSD,6437,6456.54,6436.11,6441.68,2.64,17046.04
2018-10-17 09-PM,BTCUSD,6449.65,6477,6428.8,6437,39.98,257640.79
2018-10-17 08-PM,BTCUSD,6433.3,6489.34,6412.97,6449.65,34.19,220928.72
2018-10-17 07-PM,BTCUSD,6435,6445,6431.29,6433.3,11.8,76049.49
2018-10-17 06-PM,BTCUSD,6449.3,6449.75,6428.41,6435,5.98,38540.95
2018-10-17 05-PM,BTCUSD,6444.08,6455,6421.93,6449.3,12.1,77992.12
2018-10-17 04-PM,BTCUSD,6444.08,6444.08,6413.94,6444.08,11.75,75581.98
2018-10-17 03-PM,BTCUSD,6439.99,6444.08,6433.96,6444.08,7.62,49087.0
2018-10-17 02-PM,BTCUSD,6411,6445.08,6392.55,6439.99,9.69,62283.55
2018-10-17 01-PM,BTCUSD,6432.72,6435,6381.36,6411,31.3,200527.58
2018-10-17 12-PM,BTCUSD,6435,6435,6414.8,6432.72,4.73,30402.77
2018-10-17 11-AM,BTCUSD,6415.42,6435,6409.76,6435,51.13,328765.41
2018-10-17 10-AM,BTCUSD,6430,6440.28,6412.71,6415.42,9.85,63279.96
2018-10-17 09-AM,BTCUSD,6434,6449.96,6420,6430,7.41,47675.19
2018-10-17 08-AM,BTCUSD,6436.72,6440.89,6427.44,6434,0.3988,2565.64
2018-10-17 07-AM,BTCUSD,6445.18,6445.18,6400,6436.72,16.4,105349.89
2018-10-17 06-AM,BTCUSD,6438.3,6452.51,6428.92,6445.18,2.61,16815.07
2018-10-17 05-AM,BTCUSD,6440.88,6455.02,6434,6438.3,6.74,43447.1
2018-10-17 04-AM,BTCUSD,6441.55,6449.99,6438.25,6440.88,0.9165,5903.59
2018-10-17 03-AM,BTCUSD,6440.98,6450,6433.04,6441.55,4.67,30104.46
2018-10-17 02-AM,BTCUSD,6441,6441,6425.93,6440.98,13.21,85007.79
2018-10-17 01-AM,BTCUSD,6463.36,6465.97,6439.38,6441,7.65,49329.25
2018-10-17 12-AM,BTCUSD,6464.37,6464.37,6443.58,6463.36,7.78,50151.53
2018-10-16 11-PM,BTCUSD,6444.11,6490,6443.81,6464.37,15.89,102803.09
2018-10-16 10-PM,BTCUSD,6470,6470,6434.65,6444.11,4.99,32190.66
2018-10-16 09-PM,BTCUSD,6442.78,6470,6438.07,6470,6.43,41454.13
2018-10-16 08-PM,BTCUSD,6433.47,6460.01,6428,6442.78,13.45,86665.1
2018-10-16 07-PM,BTCUSD,6425.45,6433.47,6418,6433.47,2.97,19102.95
2018-10-16 06-PM,BTCUSD,6418,6433.47,6418,6425.45,5.43,34892.09
2018-10-16 05-PM,BTCUSD,6418,6433.47,6416.32,6418,1.96,12575.63
2018-10-16 04-PM,BTCUSD,6414,6435,6390.05,6418,51.53,330552.05
2018-10-16 03-PM,BTCUSD,6414.01,6445,6414,6414,9.79,62942.62
2018-10-16 02-PM,BTCUSD,6450,6450,6414,6414.01,6.48,41616.04
2018-10-16 01-PM,BTCUSD,6428.28,6456.04,6428.28,6450,6.4,41218.33
2018-10-16 12-PM,BTCUSD,6453,6453,6425,6428.28,10.11,65000.83
2018-10-16 11-AM,BTCUSD,6420.1,6453,6420.1,6453,45.56,292938.89
2018-10-16 10-AM,BTCUSD,6425,6435,6414.34,6420.1,9.35,60035.09
2018-10-16 09-AM,BTCUSD,6445.71,6445.71,6425,6425,4.93,31755.56
2018-10-16 08-AM,BTCUSD,6450,6453.5,6405.02,6445.71,25.37,163165.13
2018-10-16 07-AM,BTCUSD,6440,6462,6440,6450,8.09,52184.3
2018-10-16 06-AM,BTCUSD,6469,6475,6435,6440,12.81,82726.1
2018-10-16 05-AM,BTCUSD,6418,6469,6404,6469,39.94,257161.99
2018-10-16 04-AM,BTCUSD,6416,6418,6404,6418,4.87,31222.97
2018-10-16 03-AM,BTCUSD,6410,6416,6403.45,6416,14.59,93589.13
2018-10-16 02-AM,BTCUSD,6416.53,6417.34,6396.89,6410,13.11,84009.07
2018-10-16 01-AM,BTCUSD,6404.54,6418.84,6396.41,6416.53,1.45,9281.03
2018-10-16 12-AM,BTCUSD,6426,6426,6395.21,6404.54,15.54,99582.71
2018-10-15 11-PM,BTCUSD,6426.64,6442.15,6400.58,6426,12.14,77937.65
2018-10-15 10-PM,BTCUSD,6388.83,6432,6372.32,6426.64,8.66,55424.07
2018-10-15 09-PM,BTCUSD,6360.78,6394.84,6353.28,6388.83,17.34,110608.71
2018-10-15 08-PM,BTCUSD,6286.33,6398.1,6275.6,6360.78,31.9,201673.87
2018-10-15 07-PM,BTCUSD,6300.97,6305.52,6286.33,6286.33,10.92,68823.65
2018-10-15 06-PM,BTCUSD,6311.67,6336.07,6275.58,6300.97,10.02,63114.96
2018-10-15 05-PM,BTCUSD,6370.8,6387.67,6311.67,6311.67,8.78,55658.74
2018-10-15 04-PM,BTCUSD,6303.92,6400,6277.91,6370.8,27.87,176642.54
2018-10-15 03-PM,BTCUSD,6304.83,6354.44,6293.57,6303.92,13.55,85441.4
2018-10-15 02-PM,BTCUSD,6319.36,6333.95,6293.43,6304.83,9.59,60509.11
2018-10-15 01-PM,BTCUSD,6307.85,6363.44,6280.19,6319.36,12.4,78336.47
2018-10-15 12-PM,BTCUSD,6335.03,6335.67,6258.4,6307.85,22.56,142017.15
2018-10-15 11-AM,BTCUSD,6327.85,6370,6309.39,6335.03,10.67,67605.83
2018-10-15 10-AM,BTCUSD,6314.89,6445.23,6228,6327.85,114.96,727965.51
2018-10-15 09-AM,BTCUSD,6240.1,6350,6223.5,6314.89,27.55,173469.93
2018-10-15 08-AM,BTCUSD,6365.81,6386,6181,6240.1,80.56,507551.74
2018-10-15 07-AM,BTCUSD,6514.61,6600,6313.99,6365.81,155.6,1007705.71
2018-10-15 06-AM,BTCUSD,6286.96,6581,6200,6514.61,156.47,1008538.3
2018-10-15 05-AM,BTCUSD,6177.63,6300,6164.99,6286.96,56.9,355319.21
2018-10-15 04-AM,BTCUSD,6170.48,6177.97,6153.29,6177.63,7.07,43580.07
2018-10-15 03-AM,BTCUSD,6165.82,6174,6165.82,6170.48,5.35,32989.0
2018-10-15 02-AM,BTCUSD,6195,6205,6165.82,6165.82,7.89,48772.42
2018-10-15 01-AM,BTCUSD,6157.31,6195,6148.14,6195,5.28,32648.18
2018-10-15 12-AM,BTCUSD,6146.79,6180.12,6120,6157.31,1.47,9044.02
2018-10-14 11-PM,BTCUSD,6180.97,6194.87,6120,6146.79,12.91,79552.87
2018-10-14 10-PM,BTCUSD,6180.97,6194.87,6180.97,6180.97,3.57,22106.45
2018-10-14 09-PM,BTCUSD,6190.17,6194.87,6180.97,6180.97,3.52,21810.32
2018-10-14 08-PM,BTCUSD,6222.51,6240,6190.17,6190.17,3.6,22359.46
2018-10-14 07-PM,BTCUSD,6214.07,6240,6212.26,6222.51,2.76,17219.01
2018-10-14 06-PM,BTCUSD,6210.29,6235,6210.29,6214.07,2.19,13616.65
2018-10-14 05-PM,BTCUSD,6234.21,6235,6208,6210.29,2.41,15022.54
2018-10-14 04-PM,BTCUSD,6218.96,6237.55,6217,6234.21,1.37,8502.35
2018-10-14 03-PM,BTCUSD,6220.97,6220.97,6205,6218.96,0.7068,4392.4
2018-10-14 02-PM,BTCUSD,6201,6220.97,6201,6220.97,1.22,7554.93
2018-10-14 01-PM,BTCUSD,6205,6221,6201,6201,4.03,25033.07
2018-10-14 12-PM,BTCUSD,6205,6221.52,6194,6205,4.44,27563.76
2018-10-14 11-AM,BTCUSD,6205,6205,6191,6205,0.567,3512.72
2018-10-14 10-AM,BTCUSD,6217.49,6220,6195,6205,0.7494,4656.84
2018-10-14 09-AM,BTCUSD,6214.12,6233.03,6198.9,6217.49,1.34,8341.28
2018-10-14 08-AM,BTCUSD,6221,6233.56,6214.12,6214.12,0.8002,4973.97
2018-10-14 07-AM,BTCUSD,6226.44,6235.1,6219,6221,3.75,23317.2
2018-10-14 06-AM,BTCUSD,6238.35,6238.62,6226.44,6226.44,0.3052,1901.39
2018-10-14 05-AM,BTCUSD,6231.83,6249.56,6231.83,6238.35,1.18,7373.46
2018-10-14 04-AM,BTCUSD,6219.1,6249.55,6204.53,6231.83,2.83,17657.5
2018-10-14 03-AM,BTCUSD,6192,6223,6192,6219.1,2.14,13282.76
2018-10-14 02-AM,BTCUSD,6180.28,6192,6180.28,6192,0.573,3541.66
2018-10-14 01-AM,BTCUSD,6180,6192,6178.56,6180.28,1.25,7745.26
2018-10-14 12-AM,BTCUSD,6186,6192,6180,6180,6.01,37146.21
2018-10-13 11-PM,BTCUSD,6184.07,6192,6182.47,6186,8.51,52624.13
2018-10-13 10-PM,BTCUSD,6185,6191.1,6184.07,6184.07,0.8262,5110.19
2018-10-13 09-PM,BTCUSD,6185,6185,6180,6185,0.8196,5068.86
2018-10-13 08-PM,BTCUSD,6181.84,6190.98,6181.56,6185,13.32,82384.78
2018-10-13 07-PM,BTCUSD,6180.23,6192,6180.23,6181.84,3.75,23198.27
2018-10-13 06-PM,BTCUSD,6217.93,6217.93,6180.23,6180.23,6.15,38153.57
2018-10-13 05-PM,BTCUSD,6219.08,6220,6204,6217.93,3.58,22269.01
2018-10-13 04-PM,BTCUSD,6200,6221.44,6198.1,6219.08,3.15,19568.54
2018-10-13 03-PM,BTCUSD,6186.88,6238.59,6186.88,6200,4.71,29225.0
2018-10-13 02-PM,BTCUSD,6195,6195,6182.29,6186.88,2.06,12760.7
2018-10-13 01-PM,BTCUSD,6190,6195,6190,6195,3.84,23776.64
2018-10-13 12-PM,BTCUSD,6193.43,6194,6185,6190,0.2443,1512.32
2018-10-13 11-AM,BTCUSD,6185.56,6210,6185.56,6193.43,5.34,33076.88
2018-10-13 10-AM,BTCUSD,6200,6210,6185.56,6185.56,0.7265,4508.8
2018-10-13 09-AM,BTCUSD,6192.04,6200,6176.29,6200,0.441,2732.24
2018-10-13 08-AM,BTCUSD,6172,6193.52,6170.04,6192.04,1.32,8162.65
