Created on 10-18-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-10-18 01-AM,ETCUSD,9.62,9.62,9.62,9.62,0.0,0.0
2018-10-18 12-AM,ETCUSD,9.76,9.76,9.62,9.62,34.0,328.83
2018-10-17 11-PM,ETCUSD,9.76,9.76,9.76,9.76,0.0,0.0
2018-10-17 10-PM,ETCUSD,9.69,9.89,9.69,9.76,119.96,1172.25
2018-10-17 09-PM,ETCUSD,9.69,9.95,9.69,9.69,37.79,369.47
2018-10-17 08-PM,ETCUSD,9.74,9.76,9.59,9.69,58.09,562.25
2018-10-17 07-PM,ETCUSD,9.62,9.74,9.62,9.74,19.0,184.53
2018-10-17 06-PM,ETCUSD,9.68,9.73,9.62,9.62,36.95,357.68
2018-10-17 05-PM,ETCUSD,9.68,9.68,9.68,9.68,0.0,0.0
2018-10-17 04-PM,ETCUSD,9.77,9.77,9.68,9.68,7.73,74.8
2018-10-17 03-PM,ETCUSD,9.8,9.87,9.66,9.77,31.11,303.84
2018-10-17 02-PM,ETCUSD,9.47,9.8,9.37,9.8,52.46,506.27
2018-10-17 01-PM,ETCUSD,9.57,9.57,9.47,9.47,7.73,73.17
2018-10-17 12-PM,ETCUSD,9.57,9.57,9.57,9.57,1.0,9.57
2018-10-17 11-AM,ETCUSD,9.57,9.57,9.57,9.57,0.0,0.0
2018-10-17 10-AM,ETCUSD,9.57,9.57,9.57,9.57,0.0,0.0
2018-10-17 09-AM,ETCUSD,9.45,9.58,9.45,9.57,133.54,1278.21
2018-10-17 08-AM,ETCUSD,9.45,9.45,9.45,9.45,1.13,10.66
2018-10-17 07-AM,ETCUSD,9.49,9.49,9.45,9.45,1.1,10.38
2018-10-17 06-AM,ETCUSD,9.49,9.49,9.49,9.49,0.0,0.0
2018-10-17 05-AM,ETCUSD,9.49,9.49,9.49,9.49,0.0,0.0
2018-10-17 04-AM,ETCUSD,9.65,9.65,9.47,9.49,11.24,106.42
2018-10-17 03-AM,ETCUSD,9.65,9.65,9.65,9.65,0.0,0.0
2018-10-17 02-AM,ETCUSD,9.65,9.65,9.65,9.65,0.0,0.0
2018-10-17 01-AM,ETCUSD,9.56,9.65,9.54,9.65,68.09,653.12
2018-10-17 12-AM,ETCUSD,9.54,9.56,9.52,9.56,5.23,49.89
2018-10-16 11-PM,ETCUSD,9.45,9.54,9.45,9.54,0.9509,9.07
2018-10-16 10-PM,ETCUSD,9.45,9.45,9.45,9.45,0.0,0.0
2018-10-16 09-PM,ETCUSD,9.45,9.45,9.45,9.45,0.0,0.0
2018-10-16 08-PM,ETCUSD,9.45,9.45,9.45,9.45,0.0,0.0
2018-10-16 07-PM,ETCUSD,9.57,9.6,9.45,9.45,11.87,112.59
2018-10-16 06-PM,ETCUSD,9.57,9.57,9.57,9.57,0.0,0.0
2018-10-16 05-PM,ETCUSD,9.57,9.57,9.57,9.57,0.0,0.0
2018-10-16 04-PM,ETCUSD,9.57,9.57,9.57,9.57,20.01,191.41
2018-10-16 03-PM,ETCUSD,9.57,9.57,9.57,9.57,2.72,25.98
2018-10-16 02-PM,ETCUSD,9.57,9.57,9.46,9.57,3.81,36.12
2018-10-16 01-PM,ETCUSD,9.57,9.57,9.57,9.57,0.0,0.0
2018-10-16 12-PM,ETCUSD,9.45,9.57,9.45,9.57,50.0,478.55
2018-10-16 11-AM,ETCUSD,9.45,9.45,9.45,9.45,0.0,0.0
2018-10-16 10-AM,ETCUSD,9.45,9.45,9.45,9.45,0.0,0.0
2018-10-16 09-AM,ETCUSD,9.45,9.45,9.45,9.45,0.0,0.0
2018-10-16 08-AM,ETCUSD,9.53,9.53,9.45,9.45,76.5,724.25
2018-10-16 07-AM,ETCUSD,9.53,9.53,9.53,9.53,0.0,0.0
2018-10-16 06-AM,ETCUSD,9.55,9.55,9.46,9.53,0.2769,2.62
2018-10-16 05-AM,ETCUSD,9.47,9.55,9.47,9.55,3.13,29.92
2018-10-16 04-AM,ETCUSD,9.55,9.55,9.47,9.47,0.8922,8.45
